"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
acidente,aci_id_tarefa,acidente_ibfk_1,tarefa,tar_id_tarefa
acidente_colaborador,acc_id_acidente,acidente_colaborador_ibfk_2,acidente,aci_id_acidente
acidente_colaborador,acc_id_obra_colaborador,acidente_colaborador_ibfk_1,obra_colaborador,oco_id_obra_colaborador
assinatura_rdo,ass_id_obra_colaborador_assinante,assinatura_rdo_ibfk_1,obra_colaborador,oco_id_obra_colaborador
assinatura_rdo,ass_id_rdo,assinatura_rdo_ibfk_2,rdo,rdo_id_rdo
colaborador,col_id_municipio,colaborador_ibfk_1,municipio,mun_id_municipio
efetivo,efe_id_efetivo_status,efetivo_ibfk_3,efetivo_status,est_id_efetivo_status
efetivo,efe_id_obra,efetivo_ibfk_1,obra,obr_id_obra
efetivo,efe_id_obra_colaborador,efetivo_ibfk_2,obra_colaborador,oco_id_obra_colaborador
empresa,emp_id_colaborador,empresa_ibfk_4,colaborador,col_id_colaborador
empresa,emp_id_licenca,empresa_ibfk_5,licenca,lic_id_licenca
empresa,emp_id_municipio,empresa_ibfk_3,municipio,mun_id_municipio
empresa,emp_id_ramo,empresa_ibfk_1,ramo,ram_id_ramo
empresa,emp_id_setor,empresa_ibfk_2,setor,set_id_setor
equipamento,equ_id_tipo_equipamento,equipamento_ibfk_1,tipo_equipamento,teq_id_tipo_equipamento
etapa,eta_id_obra,etapa_ibfk_1,obra,obr_id_obra
grupo,gru_id_licenca,grupo_ibfk_1,licenca,lic_id_licenca
grupo,gru_id_menu,grupo_ibfk_2,menu,men_id_menu
grupo_pagina_acao,gpa_id_grupo,grupo_pagina_acao_ibfk_1,grupo,gru_id_grupo
grupo_pagina_acao,gpa_id_pagina_acao,grupo_pagina_acao_ibfk_2,pagina_acao,paa_id_pagina_acao
historico_tarefa_colaborador,htc_id_historico_tarefa_rdo,historico_tarefa_colaborador_ibfk_1,historico_tarefa_rdo,his_id_historico_tarefa_rdo
historico_tarefa_colaborador,htc_id_obra_colaborador,historico_tarefa_colaborador_ibfk_2,obra_colaborador,oco_id_obra_colaborador
historico_tarefa_equipamento,hte_id_historico_tarefa_rdo,historico_tarefa_equipamento_ibfk_1,historico_tarefa_rdo,his_id_historico_tarefa_rdo
historico_tarefa_equipamento,hte_id_obra_equipamento,historico_tarefa_equipamento_ibfk_2,obra_equipamento,oeq_id_obra_equipamento
historico_tarefa_rdo,his_id_rdo,historico_tarefa_rdo_ibfk_2,rdo,rdo_id_rdo
historico_tarefa_rdo,his_id_status,historico_tarefa_rdo_ibfk_3,status_tarefa,stt_id_status
historico_tarefa_rdo,his_id_tarefa,historico_tarefa_rdo_ibfk_1,tarefa,tar_id_tarefa
imagem,ima_id_tarefa,imagem_ibfk_1,tarefa,tar_id_tarefa
laudo,lau_id_colaborador,lau_ibfk_4,colaborador,col_id_colaborador
laudo,lau_id_obra,lau_ibfk_3,obra,obr_id_obra
laudo,lau_id_status,lau_ibfk_2,status_rdo,str_id_status
menu_pagina,mpa_id_menu,menu_pagina_ibfk_1,menu,men_id_menu
menu_pagina,mpa_id_pagina,menu_pagina_ibfk_3,pagina,pag_id_pagina
menu_pagina,mpa_id_pagina_pai,menu_pagina_ibfk_2,menu_pagina,mpa_id_menu_pagina
municipio,mun_id_uf,municipio_ibfk_1,uf,ufe_id_uf
obra,obr_id_colaborador,obra_ibfk_5,colaborador,col_id_colaborador
obra,obr_id_dono,obra_ibfk_1,empresa,emp_id_empresa
obra,obr_id_empresa_contratada,obra_ibfk_3,empresa,emp_id_empresa
obra,obr_id_empresa_contratante,obra_ibfk_2,empresa,emp_id_empresa
obra,obr_id_municipio,obra_ibfk_4,municipio,mun_id_municipio
obra_colaborador,oco_id_cargo,obra_colaborador_ibfk_3,cargo,car_id_cargo
obra_colaborador,oco_id_colaborador,obra_colaborador_ibfk_2,colaborador,col_id_colaborador
obra_colaborador,oco_id_grupo,obra_colaborador_ibfk_5,grupo,gru_id_grupo
obra_colaborador,oco_id_obra,obra_colaborador_ibfk_1,obra,obr_id_obra
obra_equipamento,oeq_id_equipamento,obra_equipamento_ibfk_2,equipamento,equ_id_equipamento
obra_equipamento,oeq_id_obra,obra_equipamento_ibfk_1,obra,obr_id_obra
